name,author_title,review_text,review_rating
FedEx Service Center- Al Quoz,thafseer kanachery,,5.0
Century Express Courier Service,Tisha Templado,"Thanks Nafseer of century express courier ,,parcel is safe delivered good job!",5.0
Max Express Courier Abu Dhabi,Titus Francis,Fast & Best,5.0
Max Express Courier Abu Dhabi,Tosin Ogunniran,Excellent customer service,5.0
FedEx Service Center- Al Quoz,Ubaid Rahman,,5.0
Quiqup,Uma Kietisirirojana,"Very fast and on time delivery, provided the tracking and delivery man’s contact number. The delivery man replied the query.",5.0
Quiqup,Uma Kietisirirojana,"Very fast and on time delivery, provided the tracking and delivery man’s contact number. The delivery man replied the query.",5.0
Quiqup,vanya nortje,,5.0
Quiqup,vanya nortje,,5.0
Century Express Courier Service,Vishnu V,Loved their service!!! This is my first time using their service and I like their professionalism. They handled my fragile package delicately and delivered it on time! Would recommend them anytime,5.0
DHL Service Point (DHL DEIRA),Voicu Mihai,,5.0
Aramex,WAFI OPTICALS LLC,Not bad,5.0
Aramex,Walee Saho,"I have collected my bank card today and the service was excellent. The lady staff was so friendly from greeting, during the process, and thanking at the end. It took a very short time to collect my package. Many thanks",5.0
Quiqup,Warren Shoukat,Excellent service I have very good experience they are good in delivery service.,5.0
Aramex,Wasi,"Good service, they treat us very professionally..",5.0
DHL Service Point (DHL DEIRA),Winner Harris,Excellence Simply Delivered,5.0
Century Express Courier Service,Xhryzthelle,"Highly-recommended! Their prices are not high but services is 5-star!!!

Been their regular customer for 3 months now and I am very happy with the service.  Special mention to Jamshad (the assigned driver/courier in our area), he is very flexible and quick to respond; Mareya (Customer Service Agent), she is very efficient and effectively assists me in all of my queries) and to Inkthab (manager) he immediately addresses all operational issues that I encounter.  Also ensures to get back to me for any questions I have.",5.0
DHL Service Point (DHL DEIRA),Yahya Kojak,Very fast,5.0
Max Express Courier Abu Dhabi,Yamin hariyanto,,5.0
DHL Service Point (DHL DEIRA),yanoos davidoff,,5.0
FedEx Service Center- Al Quoz,Yasmin Nabulsi,,5.0
Quiqup,Yeboah Sheena,,5.0
Quiqup,yhobe rule,,5.0
Quiqup,yhobe rule,,5.0
Quiqup,Yna Pascual,,5.0
Aramex,Youssef Elgebaly,"One of the best companies in terms of commitment. Receive and receive any order in safe, fast and highly accurate ways",5.0
DHL Service Point (DHL DEIRA),Yousuf Soni,,5.0
DHL Service Point (DHL DEIRA),Zafar Iqbal,,5.0
Quiqup,zahra salmeen,"Really very fast delivery timing, polite driver, on time delivery",5.0
Aramex,Zain Ahmad,Good service,5.0
Aramex,Zainab,"One of the best customer service experiences I’ve had, I would like to Thank Kareem for being so helpful and understanding",5.0
DHL Service Point (DHL DEIRA),Zakhariya,Positive: Professionalism Good Service. Lots of parking nearby. Easy access,5.0
Max Express Courier Abu Dhabi,Zamani Hamza,"(Translated by Google) Artist ✌🏻

(Original)
فنان ✌🏻",5.0
Max Express Courier Abu Dhabi,Zameena Iflar,Excellent Service 👌 No words to say how much I'm confident about them.,5.0
Century Express Courier Service,ZTI ITZ,"This was my first time ever with any courier service and I am so happy that it is not the last time.
Though I was scared to book this order as the travel restrictions in Abu Dhabi are not favour able during these situation. But Al hamdulillah century express proved me wrong.I got my parcel exactly at the given delivery time.

Very professional staff and services.

HIGHLY RECOMMENDED.",5.0
Quiqup,zulfi har ali,,5.0
FedEx Service Center- Al Quoz,Антон Подшивалов,"Fast service, comfortable location, professional stuff",5.0
DHL Service Point (DHL DEIRA),Иван Курган,,5.0
DHL Service Point (DHL DEIRA),اسامه عادل,May God reward you,5.0
DHL Service Point (DHL DEIRA),السيد الشريف أبو الكرم عمران,Excellent service and very courteous treatment,5.0
Aramex,‫المستشار / عمار بن صالح المرقب (‪Abu Rashid‬)‬,Aramex is the best,5.0
Aramex,بدر الزرعوني,,5.0
Quiqup,جميلة الحربي,,5.0
DHL Service Point (DHL DEIRA),خالد الاشقر,The work you do is extremely professional,5.0
DHL Service Point (DHL DEIRA),ختامه مسك,,5.0
DHL Service Point (DHL DEIRA),عبدالله الصياح,,5.0
Quiqup,ليلى الشامسي,,5.0
Aramex,نبيل عثمان ازيرق,"We recommend dealing with them, because they provide excellent service",5.0
Century Express Courier Service,mohammed awad,Abdul Jabbar is an amazing guy and cares a lot about the details of my shipping. Big thumbs up,5.0
Zajil Express,نوف,"The cheapest delivery company 😍 Thank you, Zajel",5.0
Zajil Express,omar Ahmed,"The employee, Hisham, excels in ethics and good behavior. May God make him happy",5.0
Zajil Express,Naif S,"Excellent, working hours require a break in the evening",5.0
Zajil Express,Wed Mazin,"Finally, there is a branch nearby and easy to reach",5.0
Zajil Express,Jaber Turky,excellent. Acceptable prices compared to others and remarkable development over the years. We wish the company further progress and growth.,5.0
Century Express Courier Service,Hamza Rafique,Quality services.. Staff is really cooperating and easy to approach Abu Dhabi team is professional thanks for the usual support...,5.0
Zajil Express,soma _2017,"They are as bad as they are late with orders. As bad as one time they did not receive my order, the representative was disappointed that he did not receive my order",5.0
Zajil Express,Omar K,"Excellent, but I wish they had larger shipping boxes",5.0
Century Express Courier Service,Beauty Bloom,"I had a great experience all the time, good communication and costumer service with Century express team, specially a guy who’s always come to collect my parcel (Bipin).Services highly recommend this to any small business owners... Thanks century courier More transaction for us ☺️",5.0
Zajil Express,moahmmad al hasan,"The best employee, Hashem Fast polite I understand how he is",5.0
Zajil Express,Fatima Alamri,"Excellent service, I loved the door to door service 👍",5.0
Zajil Express,AbdolRahman Gaber,"Mr. Hisham, the employee, is very respectful, polite, and helpful Thank you for choosing him well",5.0
Zajil Express,فياض محمد,Beautiful but prices are high,5.0
Century Express Courier Service,Marielle Fernandez,one of the best courier in uae been using their service for some time now staff are attentive also especially muhammad zeeshan fahad and sarath i never had any problem with them so far continue the good work,5.0
Zajil Express,Youssef Mnam,"Good, accurate timing and very acceptable price for other shipping companies",5.0
Zajil Express,Firdaus Alam,One of the best services across the Saudi Arabia,5.0
Century Express Courier Service,Mary joey Calderon,"Bipin P Vijayan his the one pick up my parcel,his a good and nice person..Good service and accommodating company.",5.0
Zajil Express,nishanth siva,Good,5.0
Zajil Express,hammad AL hammad,I thank the employee who was there during the afternoon for his smile and friendliness,5.0
Zajil Express,AHMED,"To be honest, the employee is very respectful and cooperative. He wrapped the entire cartons and bags to protect them. I thank him and may God grant him strength for the nice treatment.",5.0
Zajil Express,faiz alenazi,Nice,5.0
Zajil Express,nawara talkoon,Good service and good delivery representatives.,5.0
Zajil Express,eleven group,excellent,5.0
Zajil Express,A wild world عالم البرية,"First, I say to brother Khaled Al-Huwaidi, may God brighten your face, raise your destiny, and increase people like you. Good reception - good manners - upscale treatment - fast service. Some employees make the references or service seekers happy. All I can say is thank you to Zajil management for this wonderful model of employees. immortal . He deserves a certificate of thanks and we will not forget him in our prayers. I hope the message reaches the honorable administration",5.0
Zajil Express,misfer albatahin,"Their prices are very good, and the employee in the branch is very helpful and has good manners, in every sense of the word. They deserve 5 stars because the employee, Hashem, is very courteous and serves with all professionalism.",5.0
Zajil Express,Saad Alotaibi,The employee of the Jisr district branch is excellent 👍,5.0
Zajil Express,RABIA SULTANA,Ma Sha Allah grant service and lower price,5.0
Zajil Express,Mohammed Kanoo,"Very excellent, and I recommend shipping via Zajil... Good luck to you.",5.0
Zajil Express,alinor matanog,Libag mosque,5.0
Zajil Express,Ahmed Almunif,Good service,5.0
Zajil Express,abdulaziz alqahtani,,5.0
Zajil Express,Nasser,,5.0
Zajil Express,Abu Abrihm Alhashmi (Abu Asahk),,5.0
Century Express Courier Service,sidharth skumar,"Have been using the service for a while, very professional service,hats off to Naznin & team...",5.0
Century Express Courier Service,JACOB CHERIAN,Positive: Professionalism One of the best experiences I had for an international package Reached Kochi within 3 days from Dubai despite late drop of parcel from my side was something amazing Would strongly recommend,5.0
Century Express Courier Service,Urvashi Deshpande,"Positive: Professionalism , Responsiveness , Value Have been using the service for a year.. Love them. Very professional. COD is returned the next day which is great.. Highly recommended",5.0
Zajil Express,Amr alabyad,Excellent I recommend it,5.0
Century Express Courier Service,Regie Binuya,"Nazeer (karama area), very supportive",5.0
Century Express Courier Service,Saima Sheikh,What a best courier service in the world. My All friends like n using this service Good work 👏 🙌 👍 👌 keep it up. 💯 ❤❤❤🤩 All the best for your Centure Express Courier Service.,5.0
Century Express Courier Service,Shaa Zaid,Century express is the best service in Uae.. We use many time to deliver gifts ti our beloved relatives in different Emirates.. Timely delivery.. Best team 👍👍 Thank you so much for amazing service,5.0
Zajil Express,عزوز الصقر,,5.0
Zajil Express,يوسف السليماني,One of the cheapest shipping companies,5.0
Century Express Courier Service,Naeem Aboobaker,"I used for my ecommerce business Great customer experiance, Value for Money,",5.0
Century Express Courier Service,kazeem nizamudeen,Very professional company. Had a great experience using their services. All staffs very professional. Highly recommend 👍,5.0
Zajil Express,محمد سعيد الرميح,Their prices are reasonable compared to other companies,5.0
Zajil Express,عشق,,5.0
Century Express Courier Service,Shameer Padayampoil,We are dealing with Century Express for many years. The service is Excellent and the team is professional and super reactive when there is any service issue. The team leader is Mr. Santhosh who is supporting us for all our activities. The Company is doing excellent service in UAE and Oman as well. Great job and I wish all the success to Century Express for future.,5.0
Century Express Courier Service,mohammed awad,Abdul Jabbar is an amazing guy and cares a lot about the details of my shipping. Big thumbs up,5.0
Century Express Courier Service,razzak abdullah,Great service and totally Trustworthy Service to relay on and I am fully satisfied by their Service so does my family .....,5.0
Zajil Express,نوف,"The cheapest delivery company 😍 Thank you, Zajel",5.0
Zajil Express,Aboode 84,,5.0
Century Express Courier Service,Lanie Harani,"I give 5 stars to Nasmeer, Sharjah incharge. He always follow up all deliveries under us. He is also very responsive to our messages. Good Job‼️🙂",5.0
Century Express Courier Service,Ahsan Ahmed,Century Express is a Great company for domestic deliveries specially being in E-Commerce business we are very much satisfied with timely deliveries and transparent procedure for Cash returns. Very professional team to deal with. Mr.Umer (Courier) Ms.Maria (CS) are very co-operative and ready for help anytime. Thanks to Ms.Yasmeen (Operation supervisor) for delivering parcel on weekend and helping us to retain a client. A very special thanks to Mr.Intkhab (Manager) for building a great team. Strongly recommended.,5.0
Zajil Express,mas zzz,,5.0
Century Express Courier Service,Atiq Ul Ehsan,Shipment & Tracking - Excellent Service. Cargo reached on time without any delay or further obstructions. I have found the Century Express Courier Service very professional and well organized. Highly grateful to Mr. Abdul Jabbar Manager in AUH office. Keep it up & Good Luck!,5.0
Zajil Express,Fahad Balharith,We thank Zajil Company for the fast service and the employee’s customer service,5.0
Century Express Courier Service,Javeria Atif,very good service and very active in returning Cod payouts.,5.0
Zajil Express,رمزي ناصر,"The location is close and serves the people of Aziziya. Their prices are good for shipping, fast arrival, and the employee Sufyan was cheerful and courteous.",5.0
Zajil Express,عواد ٠,,5.0
Zajil Express,omar Ahmed,"The employee, Hisham, excels in ethics and good behavior. May God make him happy",5.0
Zajil Express,Naif S,"Excellent, working hours require a break in the evening",5.0
Zajil Express,rofi sama,,5.0
Century Express Courier Service,Mohamed Millath,"The century courier I, had very good Service and very good Name but I, never Use Service until now but I,am using Soon the Service More and More.",5.0
Century Express Courier Service,Kim april Ciasico,Pick up today guaranteed delivered the next day really fast service highly recommend this to any small business owners... Thanks century courier More transaction for us ☺️,5.0
Zajil Express,Wed Mazin,"Finally, there is a branch nearby and easy to reach",5.0
Century Express Courier Service,Jenette Mercado,"Highly recommended, super service specially the staff very kind and easy to deal with. thumbs up👍! Number 1 courier service for me",5.0
Century Express Courier Service,Danielle DeMartini,"Great, fast service. I was under post-travel quarantine so couldn't leave my apartment, but urgently needed to sign and send an important document. Also, I don't have a printer at home. Century express made things so easy - I whatsapped them the document, they printed it for me, and a courier had it at my door in an hour, all for a very reasonable fee.",5.0
Zajil Express,خلود الجوش,"I have been dealing with them for a long time and their prices are very, very reasonable compared to other shipping companies, and they have a payment service upon delivery.",5.0
Zajil Express,أبو العز,,5.0
Century Express Courier Service,sonia iqbal,"Positive: Professionalism , Quality , Responsiveness Excellent service i had a package to be delivered on short notice and not only did you deliver but earlier as well.I would highly recommend this fantastic company.",5.0
Zajil Express,Jaber Turky,excellent. Acceptable prices compared to others and remarkable development over the years. We wish the company further progress and growth.,5.0
Century Express Courier Service,Richelle Collections,"Positive: Professionalism , Quality , Responsiveness , Value Century Express are very professional and very fast ,Your service has always been excellent. thank you so much for taking care of my items and prompt delivery to my clients ... as always. Keep it up. :-)",5.0
Zajil Express,xa_97,,5.0
Century Express Courier Service,Nona Manalac,"Positive: Professionalism , Quality , Responsiveness , Value Very good and excellent service, very quick and reliable! I can say Century Express Courier is the best!",5.0
Century Express Courier Service,Hamza Rafique,Quality services.. Staff is really cooperating and easy to approach Abu Dhabi team is professional thanks for the usual support...,5.0
Zajil Express,هقا المصري,"God willing, respected people",5.0
Century Express Courier Service,Amirah Sabila,Excellent customer service. They are willing to spend time to answer your queries. Thanks Century Express 😊,5.0
Zajil Express,RM D,,5.0
Century Express Courier Service,Zain ul Abaideen,"Their service are very good, Highly recommended for E-Commerce businesses",5.0
Century Express Courier Service,Kathlene Blanco,"Positive: Quality Very cooperative, very fast, very reliable. Thank you for delivering the document on time.. From Excellent Oasis Real Estate , Sheikh Zayed Road..",5.0
Zajil Express,Rashad Awad,,5.0
Zajil Express,KING HASSAN,,5.0
Century Express Courier Service,Altamash Malik,I have been using Century Express for the past couple of years and I have to say their service is excellent! The guys are always on time and all my items are delivered on time as well. I would highly recommend Century Express from Small SME's and also bigger companies.,5.0
Zajil Express,soma _2017,"They are as bad as they are late with orders. As bad as one time they did not receive my order, the representative was disappointed that he did not receive my order",5.0
Zajil Express,Omar K,"Excellent, but I wish they had larger shipping boxes",5.0
Zajil Express,عاصم. محمد,,5.0
Century Express Courier Service,Payal Nichani,"Positive: Value I have gone through ups and down using their service. However some of there staff are eally good. Like the pick up guys and also to mention Mr. ALI from Team Abu Dhabi, is always there to support and provide solution. Good team and happy customers make better business!",5.0
Century Express Courier Service,Beauty Bloom,"I had a great experience all the time, good communication and costumer service with Century express team, specially a guy who’s always come to collect my parcel (Bipin).Services highly recommend this to any small business owners... Thanks century courier More transaction for us ☺️",5.0
Zajil Express,صاحبة السمو,The employee deserves five stars. May God make him happy. He came to help me get the bag out of the car even though it was not his job,5.0
Zajil Express,صالح الشهري,,5.0
Century Express Courier Service,Xhryzthelle,"Highly-recommended! Their prices are not high but services is 5-star!!! Been their regular customer for 3 months now and I am very happy with the service. Special mention to Jamshad (the assigned driver/courier in our area), he is very flexible and quick to respond; Mareya (Customer Service Agent), she is very efficient and effectively assists me in all of my queries) and to Inkthab (manager) he immediately addresses all operational issues that I encounter. Also ensures to get back to me for any questions I have.",5.0
Zajil Express,lolo al-qahtani,,5.0
Century Express Courier Service,GERRY DELFIN (Akosi G4W),Good service,5.0
Zajil Express,Razan Abdullah,,5.0
Zajil Express,moahmmad al hasan,"The best employee, Hashem Fast polite I understand how he is",5.0
Zajil Express,hashim h.a.f,"Positive: Professionalism , Quality , Responsiveness",5.0
Zajil Express,Noor Ahmed,They will cry out,5.0
Century Express Courier Service,Rana Waqas,Very good and fast service.century express is best.delivery boys have good behavior,5.0
Zajil Express,ابوماهر,,5.0
Zajil Express,Mubarek Alqahtani,Excellent and the employee is very helpful,5.0
Zajil Express,Abdulrahman Agdi,,5.0
Century Express Courier Service,Samantha Ayoub,"Positive: Professionalism , Quality , Responsiveness , Value In times of urgency, they offer wonderful service. Mr. Abdul Jabbar was immensely helpful and took matters into his own hands to secure my package on time in the most efficient and friendly way possible. I highly recommend this courier service to anyone in need.",5.0
Zajil Express,Fatima Alamri,"Excellent service, I loved the door to door service 👍",5.0
Century Express Courier Service,Roshi Moothattil,"Good , Excellent and Fast Courier Service, Booked pickup in the morning shipment delivered at 2 PM with normal service charge as AED 25/- Dhs Only, I wish to give 5 stars for this excellent service, thaxs CENTURY Teams",5.0
Century Express Courier Service,Zain Za,Very happy with their service especially to Mr. ABDUL JABAR the operation manager here in Abu dhabi by follow up parcel on email he is very responsive and YASMEEN they are cooperative in my convenient .and the driver KAMRAN who always smile and happy every time he comes to pick up my parcel no matter how good or bad his day😊 I’ve using this courier for 4 years now and Im very satisfied with their service Thank you century for handling my parcel in professional way keep it up👍👍👍,5.0
Century Express Courier Service,Piyush Chawla,"Positive: Professionalism The best courier with reasonable rates …..95% delivery ratio, will suggest to run your business shipments with century courier….have good drivers…next day all shipments out for delivery…am happy with century courier",5.0
Zajil Express,Mohammad Al Obaid,,5.0
Century Express Courier Service,Alex Di Zeo,"Positive: Professionalism , Quality , Responsiveness , Value Best and unique services you can Find ! Very profesional staff willing to help you with everything ! They are simply the best ! Only century express courier made it possible ! Thank you !",5.0
Zajil Express,MAHMOUD MANSOUR,Excellent treatment,5.0
Zajil Express,AbdolRahman Gaber,"Mr. Hisham, the employee, is very respectful, polite, and helpful Thank you for choosing him well",5.0
Zajil Express,سعيد سعد,excellent,5.0
Zajil Express,رائد المخلافي,A restaurant serving traditional Yemeni food It is very wonderful and the taste of their dishes is very delicious 👍,5.0
Zajil Express,عبدالعزيز العثمان,,5.0
Century Express Courier Service,Keertana Neeraj,"Positive: Professionalism , Responsiveness I have been using Century express for my small business for about 4 months now. I am very impressed with their on-time deliveries, professional service and prompt replies to any queries or problems I have. Would highly recommend Cenrury Express to anyone looking for amazing service.",5.0
Zajil Express,طلال العتيبي,,5.0
Zajil Express,فياض محمد,Beautiful but prices are high,5.0
Zajil Express,Salem Omar,distinguished,5.0
Zajil Express,Mohammad,,5.0
Zajil Express,ابو نورة,excellent,5.0
Century Express Courier Service,Marielle Fernandez,one of the best courier in uae been using their service for some time now staff are attentive also especially muhammad zeeshan fahad and sarath i never had any problem with them so far continue the good work,5.0
Zajil Express,Youssef Mnam,"Good, accurate timing and very acceptable price for other shipping companies",5.0
Zajil Express,SAWSAN ALNAJDI,For fast shipping and reasonable prices,5.0
Zajil Express,Firdaus Alam,One of the best services across the Saudi Arabia,5.0
Century Express Courier Service,Katie,"Positive: Professionalism , Responsiveness I had a very late order that was urgent for the my wedding, and the team went out of their way, at a very reasonable price, to arrange my package to be delivered on the same day from Dubai to Abu Dhabi and they delivered it earlier than originally planned which was beyond appreciated,. Such a great team!",5.0
Zajil Express,Fadi Shahen,,5.0
Century Express Courier Service,Ahmed Murad,"Positive: Professionalism , Quality , Responsiveness I have worked with Century Express for the past 8 month and I can easily say that I am very happy with their service especially Mr. Abduljabar that is easily approachable, friendly and very helpful. Big thumbs up.",5.0
Century Express Courier Service,Paula Jocson,"Very professional staff, their services are reasonably priced and fast logistics service!! Had our documents sent to home country and do door to door! What also really caught and touched me is this message I saw in their office which made a lot of sense and which I saw in the etiquette of their service for their customers 👏👏👏 Highly recommend them!!",5.0
Zajil Express,سعود ماجد العريعر,,5.0
Zajil Express,ABC abc,Delivery and handling are faster than we expected. 👍,5.0
Zajil Express,Naif Nasser,,5.0
Century Express Courier Service,Jayson,Shipped bike from auh to dxb in 1 day without hassle thanks Century!,5.0
Century Express Courier Service,Mujjuiz,Amazing quality of service with great prices. My top recommendation for both domestic and international deliveries.,5.0
Century Express Courier Service,Mohamed Derie,This company is the most reliable company I’ve used always gets my packages on time,5.0
Century Express Courier Service,Risa Saiki,My favorite courier :D I wish they accept card payment in the future,5.0
Century Express Courier Service,REJAN REGHUNATHAN,"I have experience with 3 , 4 couriers in UAE. Glad to say that Century Express gave me the best and fast service compared to the other courier services, and good follow up from the customer service. I will give 5 star for them.",5.0
Century Express Courier Service,CatherineQueen TV,"Very fast, professional and amazing service! I've ask for a same day delivery service and the next 30 mins their guy came in to pick up the item and successfully delivered if in the next 30 mins Would highly recommend them! And keep up the good work team!",5.0
Century Express Courier Service,CheeseNinja,"I've been using their service for so long now and they never disappoint. Their couriers are very kind (at least the ones assigned to our area, hats off to you guys!). Will never look for other courier service again.",5.0
Century Express Courier Service,Hepzibah Gimba,Century Express Courier Service is an amazing Company I would love to recommend. They are very professional with their delivery services. My package has always been picked on time and delivered to the right owners. Great job!!,5.0
Century Express Courier Service,Muhammad Habib,Best courier service in town with such great price ! Highly recommended!,5.0
Zajil Express,Bu Ali,"The employee, Hashoum Heliw, was very polite. Thank you, cousin 😁",5.0
Zajil Express,Yassertaj Alser,Fast service and very courteous employee behavior,5.0
Century Express Courier Service,Mary joey Calderon,"Bipin P Vijayan his the one pick up my parcel,his a good and nice person..Good service and accommodating company.",5.0
Zajil Express,nishanth siva,Good,5.0
Zajil Express,Abo toto,,5.0
Century Express Courier Service,asmath nisa,"The courier service is amazing which is quite economical , reliable.They provide a safe packing and a good shipping .All the goods are shipped on-time .As the name indicates it is a courier service with express delivery and I will give century for their service.",5.0
Zajil Express,hammad AL hammad,I thank the employee who was there during the afternoon for his smile and friendliness,5.0
Zajil Express,AHMED,"To be honest, the employee is very respectful and cooperative. He wrapped the entire cartons and bags to protect them. I thank him and may God grant him strength for the nice treatment.",5.0
Zajil Express,سلطان العتيبي,,5.0
Zajil Express,ابو شهاب االجعمي,Excellent carrier,5.0
Century Express Courier Service,Vishnu V,Loved their service!!! This is my first time using their service and I like their professionalism. They handled my fragile package delicately and delivered it on time! Would recommend them anytime,5.0
Century Express Courier Service,Venkatesh P,"Though there are many negative reviews, I personally didn't feel any difficulties with the staff and all the other aspects. Professional people with timely delivery.",5.0
Century Express Courier Service,Vijai Kumar,Best service next day delivery in UAE value for money,5.0
Century Express Courier Service,CATHERINE BALI,Services are professional and responsive exceeding than expected. I recommend them at 100%,5.0
Zajil Express,سعود,,5.0
Century Express Courier Service,aamir khan,"Positive: Professionalism , Quality , Responsiveness , Value They deliver within 2-3 days. They also have good customer service and return of cash is done within 2-3 days too.",5.0
Zajil Express,فهد اليامي,,5.0
Zajil Express,Muhammad Basit,,5.0
Century Express Courier Service,ŠŮŁŤÄÑ ÅŁî,"Positive: Professionalism Excellent team specially Abu Dhabi team, Good service providers always fast response from Abu Dhabi, highly recommended",5.0
Zajil Express,ابوسلمان Gh,fast,5.0
Zajil Express,faiz alenazi,Nice,5.0
Zajil Express,عٌبًدٍآلَعٌزٍيَزٍ آلَحًآرثًيَ,,5.0
Zajil Express,ahmed mostafa,The services are great for the prices,5.0
Century Express Courier Service,Allen Rose,Very professional team. Delivered my package on time.,5.0
Zajil Express,Abdulrhman Shmalan,,5.0
Zajil Express,إبراهيم الزهراني,,5.0
Zajil Express,عبدالمحسن الحربي,,5.0
Zajil Express,P Q X,,5.0
Zajil Express,الوليد AloliD,good,5.0
Zajil Express,Lord.8888,Excellent and fast shipping,5.0
Century Express Courier Service,Tisha Templado,"Thanks Nafseer of century express courier ,,parcel is safe delivered good job!",5.0
Century Express Courier Service,Sonsan,There service is really good. Especially very supportive staff and the service they are providing is good.,5.0
Century Express Courier Service,Jean Marie Mesias,Very fast delivery services. 5 stars for Ms. Divya who always attends on client’s needs. And Mr. Santhosh also for being very professional on dealing with me as a client. 👍🏻👊🏻,5.0
Zajil Express,Abdulrahman Al-Attiya,,5.0
Zajil Express,D2 Q,,5.0
Zajil Express,john judy,,5.0
Zajil Express,nasser rashed,The employee treated him nicely and was received with the best face,5.0
Zajil Express,1 شبح اليوتيوب,,5.0
Zajil Express,مجد حسن,,5.0
Century Express Courier Service,Ananthapadmanabhan Ramesh,"We recently used century express for an urgent document delivery to India from Dubai. It was promised to be delivered in 3 days but the team managed to get it done in 1 day. Since this was a critical document for us, the expedited delivery was really helpful. Strongly recommend them as a service provider.",5.0
Century Express Courier Service,Zaki Zaki,Excellent courier service. Strongly Recommended for E-COMMERCE clients.,5.0
Zajil Express,n y,"The Sudanese employee works hard, is excellent, and is cooperative",5.0
Zajil Express,Azoz alsagr,,5.0
